REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 1.969	 1.607	 16000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 -1.000	 1.083	 16000	wb
sounds\or105.08k.raw	 sounds\dg105.08k.raw	 2.237	 1.844	 8000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 1.969	 1.607	 16000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 -1.000	 1.083	 16000	wb
sounds\or105.08k.raw	 sounds\dg105.08k.raw	 2.237	 1.844	 8000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 1.969	 1.607	 16000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 -1.000	 1.083	 16000	wb
sounds\or105.08k.raw	 sounds\dg105.08k.raw	 2.237	 1.844	 8000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 1.969	 1.607	 16000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 -1.000	 1.083	 16000	wb
sounds\or105.08k.raw	 sounds\dg105.08k.raw	 2.237	 1.844	 8000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 1.969	 1.607	 16000	nb
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 -1.000	 1.083	 16000	wb
sounds\or105.08k.raw	 sounds\dg105.08k.raw	 2.237	 1.844	 8000	nb
sounds\F05_440C0202_BUS_clean.wav	 sounds\F05_440C0202_BUS_DSB.wav	 -1.000	 1.147	 16000	wb
sounds\F05_440C0202_BUS_clean.wav	 sounds\F05_440C0202_BUS_DSB.wav	 -1.000	 1.147	 16000	wb
sounds\F05_440C0202_BUS_clean.wav	 sounds\F05_440C0202_BUS_MVDR.wav	 -1.000	 1.303	 16000	wb
sounds\F05_440C0202_BUS_clean.wav	 sounds\F05_440C0202_BUS.wav	 -1.000	 1.541	 16000	wb
sounds\F05_440C0204_BUS_clean.wav	 sounds\F05_440C0204_BUS_DSB.wav	 -1.000	 1.228	 16000	wb
sounds\F05_440C0204_BUS_clean.wav	 sounds\F05_440C0204_BUS_MVDR.wav	 -1.000	 1.480	 16000	wb
sounds\F05_440C0204_BUS_clean.wav	 sounds\F05_440C0204_BUS.wav	 -1.000	 1.893	 16000	wb
sounds\F05_440C0209_BUS_clean.wav	 sounds\F05_440C0209_BUS_DSB.wav	 -1.000	 1.055	 16000	wb
sounds\F05_440C0209_BUS_clean.wav	 sounds\F05_440C0209_BUS_MVDR.wav	 -1.000	 1.094	 16000	wb
sounds\F05_440C0209_BUS_clean.wav	 sounds\F05_440C0209_BUS.wav	 -1.000	 1.130	 16000	wb
sounds\F05_440C020E_BUS_clean.wav	 sounds\F05_440C020E_BUS_DSB.wav	 -1.000	 1.051	 16000	wb
sounds\F05_440C020E_BUS_clean.wav	 sounds\F05_440C020E_BUS_MVDR.wav	 -1.000	 1.089	 16000	wb
sounds\F05_440C020E_BUS_clean.wav	 sounds\F05_440C020E_BUS.wav	 -1.000	 1.184	 16000	wb
sounds\F05_440C020F_BUS_clean.wav	 sounds\F05_440C020F_BUS_DSB.wav	 -1.000	 1.067	 16000	wb
sounds\F05_440C020F_BUS_clean.wav	 sounds\F05_440C020F_BUS_MVDR.wav	 -1.000	 1.136	 16000	wb
sounds\F05_440C020F_BUS_clean.wav	 sounds\F05_440C020F_BUS.wav	 -1.000	 1.226	 16000	wb
sounds\F05_440C020G_BUS_clean.wav	 sounds\F05_440C020G_BUS_DSB.wav	 -1.000	 1.135	 16000	wb
sounds\F05_440C020G_BUS_clean.wav	 sounds\F05_440C020G_BUS_MVDR.wav	 -1.000	 1.233	 16000	wb
sounds\F05_440C020G_BUS_clean.wav	 sounds\F05_440C020G_BUS.wav	 -1.000	 1.480	 16000	wb
sounds\F05_440C020H_BUS_clean.wav	 sounds\F05_440C020H_BUS_DSB.wav	 -1.000	 1.099	 16000	wb
sounds\F05_440C0202_BUS_clean.wav	 sounds\F05_440C0202_BUS_DSB.wav	 -1.000	 1.147	 16000	wb
sounds\F05_440C0202_BUS_clean.wav	 sounds\F05_440C0202_BUS_MVDR.wav	 -1.000	 1.303	 16000	wb
sounds\F05_440C0202_BUS_clean.wav	 sounds\F05_440C0202_BUS.wav	 -1.000	 1.541	 16000	wb
sounds\F05_440C0204_BUS_clean.wav	 sounds\F05_440C0204_BUS_DSB.wav	 -1.000	 1.228	 16000	wb
